Frame Number,Timestamp
281,1674859764437.6667
282,1674859764471.0
283,1674859764504.3333
284,1674859764537.6667
285,1674859764571.0
286,1674859764604.3333
287,1674859764637.6667
288,1674859764671.0
289,1674859764704.3333
290,1674859764737.6667
291,1674859764771.0
292,1674859764804.3333
293,1674859764837.6667
294,1674859764871.0
295,1674859764904.3333
296,1674859764937.6667
297,1674859764971.0
298,1674859765004.3333
299,1674859765037.6667
300,1674859765071.0
301,1674859765104.3333
302,1674859765137.6667
303,1674859765171.0
304,1674859765204.3333
305,1674859765237.6667
306,1674859765271.0
307,1674859765304.3333
308,1674859765337.6667
309,1674859765371.0
310,1674859765404.3333
311,1674859765437.6667
312,1674859765471.0
313,1674859765504.3333
314,1674859765537.6667
315,1674859765571.0
316,1674859765604.3333
317,1674859765637.6667
318,1674859765671.0
319,1674859765704.3333
320,1674859765737.6667
321,1674859765771.0
322,1674859765804.3333
323,1674859765837.6667
324,1674859765871.0
325,1674859765904.3333
326,1674859765937.6667
327,1674859765971.0
328,1674859766004.3333
329,1674859766037.6667
330,1674859766071.0
331,1674859766104.3333
332,1674859766137.6667
333,1674859766171.0
334,1674859766204.3333
335,1674859766237.6667
336,1674859766271.0
337,1674859766304.3333
338,1674859766337.6667
339,1674859766371.0
340,1674859766404.3333
341,1674859766437.6667
342,1674859766471.0
343,1674859766504.3333
344,1674859766537.6667
345,1674859766571.0
346,1674859766604.3333
347,1674859766637.6667
348,1674859766671.0
349,1674859766704.3333
350,1674859766737.6667
351,1674859766771.0
352,1674859766804.3333
353,1674859766837.6667
354,1674859766871.0
355,1674859766904.3333
356,1674859766937.6667
357,1674859766971.0
358,1674859767004.3333
359,1674859767037.6667
360,1674859767071.0
361,1674859767104.3333
362,1674859767137.6667
363,1674859767171.0
364,1674859767204.3333
365,1674859767237.6667
366,1674859767271.0
367,1674859767304.3333
368,1674859767337.6667
369,1674859767371.0
370,1674859767404.3333
371,1674859767437.6667
372,1674859767471.0
373,1674859767504.3333
374,1674859767537.6667
375,1674859767571.0
376,1674859767604.3333
377,1674859767637.6667
378,1674859767671.0
379,1674859767704.3333
380,1674859767737.6667
381,1674859767771.0
382,1674859767804.3333
383,1674859767837.6667
384,1674859767871.0
385,1674859767904.3333
