PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,Trackstar time,True frame #,Relative frame #,Frame timestamp
374.3215,28.575000000000003,-207.95,420.4765,-159.4505,-159.897,0.8859511041263127,0,1674859764.437800,281,0,1674859764437.6667
374.433,28.63082,-208.006,420.588,-159.11599999999999,-159.7855,0.8728385973638746,0,1674859764.470900,282,1,1674859764471.0
374.433,28.63082,-208.0615,420.644,-159.06,-159.89749999999998,0.8680832858671473,0,1674859764.504000,283,2,1674859764504.3333
374.377,28.68663,-208.1735,420.644,-159.004,-159.89749999999998,0.8646387011709175,0,1674859764.537100,284,3,1674859764537.6667
374.377,28.686645,-208.1735,420.70000000000005,-158.89249999999998,-159.8415,0.8616861905434721,0,1674859764.570100,285,4,1674859764571.0
374.489,28.686645,-208.1735,420.7555,-158.837,-160.00900000000001,0.8600365349245549,0,1674859764.603200,286,5,1674859764604.3333
374.54449999999997,28.63083,-208.00549999999998,420.7555,-158.781,-160.0645,0.8603889578883311,0,1674859764.636300,287,6,1674859764637.6667
374.6565,28.40756,-207.8385,420.70000000000005,-159.06,-159.7855,0.8612145890200841,0,1674859764.669300,288,7,1674859764671.0
374.6565,28.184350000000002,-207.7825,420.6445,-159.5625,-159.39499999999998,0.8574395870112176,0,1674859764.706100,289,8,1674859764704.3333
374.6565,28.0727,-207.7265,420.7555,-159.72949999999997,-159.06,0.855327534634295,0,1674859764.739200,290,9,1674859764737.6667
374.6005,27.90529,-207.671,420.8115,-159.67399999999998,-158.94799999999998,0.8527219681413347,0,1674859764.772200,291,10,1674859764771.0
374.54449999999997,27.84944,-207.615,420.8115,-159.7855,-158.837,0.8540572151422795,0,1674859764.805300,292,11,1674859764804.3333
374.489,27.84944,-207.615,420.7555,-159.953,-158.6695,0.8560065499339247,0,1674859764.838400,293,12,1674859764837.6667
374.489,27.79363,-207.5595,420.7555,-160.065,-158.558,0.856641758249496,0,1674859764.871500,294,13,1674859764871.0
374.489,27.84948,-207.5035,420.6995,-160.1765,-158.502,0.8572767888313545,0,1674859764.904500,295,14,1674859764904.3333
374.433,27.96108,-207.5595,420.7555,-160.0645,-158.502,0.8574212586076961,0,1674859764.937600,296,15,1674859764937.6667
374.433,27.96108,-207.671,420.7555,-159.8415,-158.502,0.8574286294091613,0,1674859764.970700,297,16,1674859764971.0
374.433,28.01688,-207.727,420.8115,-159.786,-158.502,0.8580779976105863,0,1674859765.003800,298,17,1674859765004.3333
374.3775,28.07273,-207.7265,420.9235,-159.50650000000002,-158.558,0.8592541344713946,0,1674859765.036800,299,18,1674859765037.6667
374.3775,28.24015,-207.671,420.9235,-159.39499999999998,-158.6135,0.8569577235599904,0,1674859765.069900,300,19,1674859765071.0
374.3215,28.295959999999997,-207.7825,420.979,-159.45049999999998,-158.725,0.8574393232481453,0,1674859765.103000,301,20,1674859765104.3333
374.2655,28.46337,-207.95,420.97900000000004,-159.5625,-158.837,0.8561330608625972,0,1674859765.136100,302,21,1674859765137.6667
374.3215,28.574995,-208.062,420.97900000000004,-159.45049999999998,-159.1155,0.849583658756866,0,1674859765.172800,303,22,1674859765171.0
374.377,28.630795,-208.173,420.97900000000004,-159.45049999999998,-159.2275,0.8491141645564226,0,1674859765.205900,304,23,1674859765204.3333
374.377,28.686605,-208.22899999999998,421.03499999999997,-159.39499999999998,-159.2835,0.8468239041051644,0,1674859765.239000,305,24,1674859765237.6667
374.377,28.63083,-208.22899999999998,421.0905,-159.3945,-159.39499999999998,0.8512551634116728,0,1674859765.272000,306,25,1674859765271.0
374.3775,28.519209999999998,-208.173,421.0345,-159.5625,-159.339,0.8589352291913988,0,1674859765.305100,307,26,1674859765304.3333
374.433,28.463359999999998,-208.22899999999998,420.9785,-159.67399999999998,-159.451,0.8585817956151076,0,1674859765.338200,308,27,1674859765337.6667
374.433,28.51917,-208.22899999999998,420.923,-159.841,-159.5625,0.8571020005087788,0,1674859765.371300,309,28,1674859765371.0
374.433,28.46337,-208.1735,420.97900000000004,-159.953,-159.451,0.8548206232423171,0,1674859765.404300,310,29,1674859765404.3333
374.48850000000004,28.519180000000002,-208.006,420.97900000000004,-159.897,-159.3395,0.8522034582207986,0,1674859765.437400,311,30,1674859765437.6667
374.6005,28.40757,-207.8385,420.97900000000004,-159.72949999999997,-159.2835,0.8585807283919353,0,1674859765.470500,312,31,1674859765471.0
374.6565,28.295959999999997,-207.671,420.86699999999996,-159.6735,-159.28300000000002,0.855801632051552,0,1674859765.503500,313,32,1674859765504.3333
374.824,28.128500000000003,-207.5595,420.8115,-159.8415,-159.172,0.8452073309551194,0,1674859765.536600,314,33,1674859765537.6667
374.76800000000003,27.96109,-207.615,420.7555,-159.953,-159.00400000000002,0.840974621211889,0,1674859765.569700,315,34,1674859765571.0
374.76750000000004,28.01689,-207.615,420.8115,-159.953,-158.781,0.838551753374953,0,1674859765.602800,316,35,1674859765604.3333
374.82349999999997,28.295959999999997,-207.4475,420.86749999999995,-159.953,-158.502,0.8427849412263203,0,1674859765.639500,317,36,1674859765637.6667
374.991,28.35176,-207.22449999999998,420.979,-159.95299999999997,-158.4465,0.8462017744760637,0,1674859765.672600,318,37,1674859765671.0
375.047,28.40757,-207.22449999999998,421.03499999999997,-159.7855,-158.558,0.8427672171500555,0,1674859765.705700,319,38,1674859765704.3333
375.047,28.51917,-207.16899999999998,421.0905,-159.618,-158.66899999999998,0.8449266114000217,0,1674859765.738700,320,39,1674859765737.6667
374.991,28.57502,-207.22449999999998,421.0905,-159.674,-158.6695,0.8491661631157416,0,1674859765.771800,321,40,1674859765771.0
374.991,28.68663,-207.2245,421.14649999999995,-159.50650000000002,-158.558,0.8507882752762518,0,1674859765.804900,322,41,1674859765804.3333
374.991,28.686645,-207.28050000000002,421.2025,-159.28300000000002,-158.725,0.8470124521919986,0,1674859765.838000,323,42,1674859765837.6667
374.991,28.686605,-207.3915,421.2025,-159.339,-158.837,0.8479789929379894,0,1674859765.871000,324,43,1674859765871.0
374.991,28.798264999999997,-207.5035,421.2025,-159.39499999999998,-158.781,0.8535018528323218,0,1674859765.904100,325,44,1674859765904.3333
375.1025,28.686615,-207.55900000000003,421.2025,-159.4505,-158.6135,0.8513948321720239,0,1674859765.937200,326,45,1674859765937.6667
374.8795,28.630815,-207.78300000000002,421.2025,-159.339,-158.6695,0.8499316310394558,0,1674859765.970300,327,46,1674859765971.0
374.935,28.295959999999997,-207.8385,421.202,-159.339,-158.6695,0.856939795813596,0,1674859766.003300,328,47,1674859766004.3333
374.82349999999997,28.295959999999997,-207.7825,421.202,-159.22750000000002,-158.781,0.8594046068131662,0,1674859766.036400,329,48,1674859766037.6667
374.6005,28.295959999999997,-207.894,421.14599999999996,-159.2835,-158.893,0.8610534353621793,0,1674859766.069500,330,49,1674859766071.0
374.54449999999997,28.0727,-208.006,421.03499999999997,-159.4505,-158.837,0.8561507222928643,0,1674859766.102600,331,50,1674859766104.3333
374.6005,28.0169,-207.894,420.923,-159.618,-158.781,0.8494292521131863,0,1674859766.139300,332,51,1674859766137.6667
374.76750000000004,28.07269,-207.8945,420.923,-159.6735,-158.5575,0.8424555742073198,0,1674859766.172400,333,52,1674859766171.0
374.82349999999997,27.90529,-208.006,420.979,-159.953,-158.446,0.8250805021623199,0,1674859766.205400,334,53,1674859766204.3333
374.991,28.0727,-207.7265,420.9235,-160.1765,-158.2785,0.8229368500576018,0,1674859766.238500,335,54,1674859766237.6667
374.8795,28.351745,-207.4475,420.9235,-160.1765,-158.223,0.8216191977940827,0,1674859766.271600,336,55,1674859766271.0
374.712,28.575014999999997,-207.392,420.86749999999995,-160.1765,-158.223,0.818133675932984,0,1674859766.304700,337,56,1674859766304.3333
374.82349999999997,28.519205,-207.392,420.8115,-160.23250000000002,-158.11149999999998,0.8157315570413791,0,1674859766.337700,338,57,1674859766337.6667
374.7675,28.575005,-207.50400000000002,420.8115,-160.1205,-157.9995,0.8191518229290067,0,1674859766.370800,339,58,1674859766371.0
374.712,28.630815,-207.44799999999998,420.86699999999996,-160.00900000000001,-157.888,0.8165430090885117,0,1674859766.403900,340,59,1674859766404.3333
374.712,28.686625,-207.44799999999998,420.923,-159.953,-157.888,0.8111856025878362,0,1674859766.437000,341,60,1674859766437.6667
374.712,28.686625,-207.50349999999997,420.923,-159.841,-158.0555,0.8119770158022122,0,1674859766.470000,342,61,1674859766471.0
374.712,28.742425,-207.5595,420.923,-159.5065,-158.44600000000003,0.8142527820087886,0,1674859766.503100,343,62,1674859766504.3333
374.656,28.742414999999998,-207.671,420.923,-159.339,-158.558,0.8191397528227222,0,1674859766.536200,344,63,1674859766537.6667
374.6005,28.854074999999998,-207.727,420.923,-159.28300000000002,-158.6135,0.8180240318717663,0,1674859766.569300,345,64,1674859766571.0
374.545,28.909845,-207.78300000000002,420.923,-159.06,-158.89249999999998,0.8163222176924242,0,1674859766.606000,346,65,1674859766604.3333
374.545,28.965654999999998,-207.8385,421.0905,-159.0045,-159.11599999999999,0.8156550534119446,0,1674859766.639100,347,66,1674859766637.6667
374.6005,29.021465,-207.894,421.202,-158.893,-159.172,0.8114605385850425,0,1674859766.672200,348,67,1674859766671.0
374.54449999999997,29.133125,-207.95,421.25800000000004,-158.893,-159.2275,0.8087143776577432,0,1674859766.705200,349,68,1674859766704.3333
374.54449999999997,29.021465,-207.95,421.202,-159.17149999999998,-159.11599999999999,0.808713325216329,0,1674859766.738300,350,69,1674859766737.6667
374.545,28.909855,-207.95,421.25800000000004,-159.283,-159.17149999999998,0.8141950413033157,0,1674859766.771400,351,70,1674859766771.0
374.545,28.742445,-207.95,421.3135,-159.2275,-159.1715,0.8127306446991042,0,1674859766.804500,352,71,1674859766804.3333
374.545,28.463375,-207.95,421.31399999999996,-159.45100000000002,-158.9485,0.8112678049524077,0,1674859766.837500,353,72,1674859766837.6667
374.545,28.351775,-207.95,421.258,-159.73000000000002,-158.725,0.8083515191570392,0,1674859766.870600,354,73,1674859766871.0
374.545,28.295965,-207.894,421.258,-159.8415,-158.502,0.808996790177585,0,1674859766.903700,355,74,1674859766904.3333
374.6005,28.240115,-207.78300000000002,421.0905,-160.0645,-158.2785,0.8056118541608455,0,1674859766.936800,356,75,1674859766937.6667
374.6005,28.128495,-207.72699999999998,420.8675,-160.344,-158.0555,0.8093427880660813,0,1674859766.969800,357,76,1674859766971.0
374.6005,28.072680000000002,-207.7265,420.756,-160.232,-157.94400000000002,0.8124309960818684,0,1674859767.002900,358,77,1674859767004.3333
374.6005,28.01687,-207.671,420.7,-160.1765,-157.7205,0.813086003600044,0,1674859767.036000,359,78,1674859767037.6667
374.6005,28.01687,-207.671,420.5325,-160.176,-157.832,0.813086003600044,0,1674859767.072700,360,79,1674859767071.0
