Frame Number,Timestamp
273,1674855019382.0
274,1674855019415.3333
275,1674855019448.6667
276,1674855019482.0
277,1674855019515.3333
278,1674855019548.6667
279,1674855019582.0
280,1674855019615.3333
281,1674855019648.6667
282,1674855019682.0
283,1674855019715.3333
284,1674855019748.6667
285,1674855019782.0
286,1674855019815.3333
287,1674855019848.6667
288,1674855019882.0
289,1674855019915.3333
290,1674855019948.6667
291,1674855019982.0
292,1674855020015.3333
293,1674855020048.6667
294,1674855020082.0
295,1674855020115.3333
296,1674855020148.6667
297,1674855020182.0
298,1674855020215.3333
299,1674855020248.6667
300,1674855020282.0
301,1674855020315.3333
302,1674855020348.6667
303,1674855020382.0
304,1674855020415.3333
305,1674855020448.6667
306,1674855020482.0
307,1674855020515.3333
308,1674855020548.6667
309,1674855020582.0
310,1674855020615.3333
311,1674855020648.6667
312,1674855020682.0
313,1674855020715.3333
314,1674855020748.6667
315,1674855020782.0
316,1674855020815.3333
317,1674855020848.6667
318,1674855020882.0
319,1674855020915.3333
320,1674855020948.6667
321,1674855020982.0
322,1674855021015.3333
323,1674855021048.6667
324,1674855021082.0
325,1674855021115.3333
326,1674855021148.6667
327,1674855021182.0
328,1674855021215.3333
329,1674855021248.6667
330,1674855021282.0
331,1674855021315.3333
332,1674855021348.6667
333,1674855021382.0
334,1674855021415.3333
335,1674855021448.6667
336,1674855021482.0
337,1674855021515.3333
338,1674855021548.6667
339,1674855021582.0
340,1674855021615.3333
341,1674855021648.6667
342,1674855021682.0
343,1674855021715.3333
344,1674855021748.6667
345,1674855021782.0
346,1674855021815.3333
347,1674855021848.6667
348,1674855021882.0
349,1674855021915.3333
350,1674855021948.6667
351,1674855021982.0
352,1674855022015.3333
353,1674855022048.6667
354,1674855022082.0
355,1674855022115.3333
356,1674855022148.6667
357,1674855022182.0
358,1674855022215.3333
359,1674855022248.6667
360,1674855022282.0
361,1674855022315.3333
362,1674855022348.6667
363,1674855022382.0
364,1674855022415.3333
365,1674855022448.6667
366,1674855022482.0
367,1674855022515.3333
368,1674855022548.6667
369,1674855022582.0
370,1674855022615.3333
371,1674855022648.6667
372,1674855022682.0
373,1674855022715.3333
374,1674855022748.6667
375,1674855022782.0
376,1674855022815.3333
377,1674855022848.6667
378,1674855022882.0
379,1674855022915.3333
380,1674855022948.6667
381,1674855022982.0
382,1674855023015.3333
383,1674855023048.6667
384,1674855023082.0
385,1674855023115.3333
386,1674855023148.6667
387,1674855023182.0
388,1674855023215.3333
389,1674855023248.6667
390,1674855023282.0
391,1674855023315.3333
392,1674855023348.6667
393,1674855023382.0
394,1674855023415.3333
395,1674855023448.6667
396,1674855023482.0
397,1674855023515.3333
