PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,Trackstar time,True frame #,Relative frame #,Frame timestamp
375.549,41.076550000000005,-208.7315,426.839,-166.59449999999998,-147.7305,0.7913162512757194,0,1674859260.425800,289,0,1674859260414.3333
375.4375,40.7975,-208.843,426.95050000000003,-167.09699999999998,-147.7865,0.7781879204463651,0,1674859260.447800,290,1,1674859260447.6667
375.2145,40.46265,-209.122,427.11850000000004,-166.81799999999998,-147.619,0.7804126295254017,0,1674859260.480900,291,2,1674859260481.0
375.27,39.96035,-208.787,427.0625,-166.929,-147.451,0.7626240228329381,0,1674859260.514000,292,3,1674859260514.3333
375.326,39.4581,-208.6755,426.6715,-166.539,-147.33999999999997,0.7496079299255496,0,1674859260.547100,293,4,1674859260547.6667
375.38199999999995,39.123200000000004,-208.61950000000002,426.504,-165.869,-148.0655,0.7507289196186894,0,1674859260.580100,294,5,1674859260581.0
375.38199999999995,38.95575,-208.22899999999998,426.169,-165.59,-148.735,0.7562969770721084,0,1674859260.613200,295,6,1674859260614.3333
375.21450000000004,38.6209,-208.1175,425.4995,-165.81349999999998,-148.512,0.7579818333636955,0,1674859260.646300,296,7,1674859260647.6667
375.10249999999996,38.56505,-208.06150000000002,425.444,-166.26,-148.23250000000002,0.7646906281021105,0,1674859260.679400,297,8,1674859260681.0
375.2145,38.39765,-207.95,425.4435,-166.42700000000002,-147.84249999999997,0.7589591608608877,0,1674859260.716100,298,9,1674859260714.3333
375.27,38.39765,-208.06150000000002,425.332,-166.483,-147.842,0.7500479470785825,0,1674859260.749200,299,10,1674859260747.6667
375.3815,38.453450000000004,-208.0055,425.332,-166.42700000000002,-147.6745,0.7523242019963622,0,1674859260.782300,300,11,1674859260781.0
375.3815,38.34185,-207.95,425.4435,-166.09199999999998,-147.507,0.749130933536745,0,1674859260.815300,301,12,1674859260814.3333
375.4375,38.062799999999996,-207.894,425.611,-166.036,-147.4515,0.7398777872598697,0,1674859260.848400,302,13,1674859260847.6667
375.4375,38.1744,-207.95,425.66700000000003,-165.81349999999998,-147.28449999999998,0.749884137292299,0,1674859260.881500,303,14,1674859260881.0
375.326,38.4535,-208.0055,425.611,-165.6455,-147.34,0.7449161827582347,0,1674859260.914600,304,15,1674859260914.3333
375.21450000000004,38.7325,-208.0055,425.66700000000003,-165.36700000000002,-147.5635,0.7367835145220806,0,1674859260.947600,305,16,1674859260947.6667
375.2145,38.84415,-207.95,425.66700000000003,-165.255,-147.954,0.731053331482423,0,1674859260.980700,306,17,1674859260981.0
375.27,38.899950000000004,-208.06150000000002,425.723,-165.1995,-148.23250000000002,0.7340241847727528,0,1674859261.013800,307,18,1674859261014.3333
375.326,39.0116,-208.1175,425.83450000000005,-165.0875,-148.2885,0.731424574408863,0,1674859261.046900,308,19,1674859261047.6667
375.326,38.955799999999996,-208.1175,425.8905,-165.0875,-148.5675,0.7290627331699701,0,1674859261.079900,309,20,1674859261081.0
375.326,38.7325,-208.1735,425.8905,-165.0875,-148.735,0.7285492663981309,0,1674859261.113000,310,21,1674859261114.3333
375.4375,38.6209,-208.2295,425.89,-165.0875,-148.84699999999998,0.7239066576778123,0,1674859261.146100,311,22,1674859261147.6667
375.49350000000004,38.5651,-208.4525,425.8345,-165.143,-149.1255,0.7204984975116987,0,1674859261.182800,312,23,1674859261181.0
375.549,38.50925,-208.508,425.946,-165.255,-148.958,0.7139461205780271,0,1674859261.215900,313,24,1674859261214.3333
375.4375,38.453450000000004,-208.6755,426.058,-165.1995,-149.014,0.7104634283059713,0,1674859261.249000,314,25,1674859261247.6667
375.4375,38.39765,-208.7315,426.11350000000004,-165.4225,-148.7355,0.7106959300945086,0,1674859261.282000,315,26,1674859261281.0
375.382,38.2302,-208.787,426.11350000000004,-165.813,-148.512,0.7078420242030747,0,1674859261.315100,316,27,1674859261314.3333
375.382,38.007,-208.787,426.11350000000004,-165.869,-148.40050000000002,0.7052203669083312,0,1674859261.348200,317,28,1674859261347.6667
375.493,37.83955,-208.676,425.9465,-166.0925,-148.3445,0.7065286672904695,0,1674859261.381300,318,29,1674859261381.0
375.605,37.72795,-208.4525,425.8345,-166.2595,-148.2885,0.7107578011241066,0,1674859261.414300,319,30,1674859261414.3333
375.605,37.56045,-208.34050000000002,425.7785,-166.3715,-148.177,0.715200608326962,0,1674859261.447400,320,31,1674859261447.6667
375.549,37.6163,-208.34050000000002,425.66700000000003,-166.2035,-147.954,0.714452115880286,0,1674859261.480500,321,32,1674859261481.0
375.549,37.6163,-208.34050000000002,425.5555,-166.0365,-147.7865,0.714452115880286,0,1674859261.513600,322,33,1674859261514.3333
375.605,37.616299999999995,-208.28500000000003,425.611,-165.925,-147.898,0.7207244163554115,0,1674859261.546600,323,34,1674859261547.6667
375.5495,37.616299999999995,-208.28500000000003,425.5555,-165.7015,-148.0655,0.722779310766422,0,1674859261.579700,324,35,1674859261581.0
375.4375,37.78375,-208.22899999999998,425.4995,-165.7575,-148.0655,0.7219707931242035,0,1674859261.612800,325,36,1674859261614.3333
375.38149999999996,37.78375,-208.28500000000003,425.6115,-165.7575,-147.898,0.7235257449519261,0,1674859261.645900,326,37,1674859261647.6667
375.38149999999996,37.83955,-208.173,425.72249999999997,-165.64600000000002,-147.7305,0.7222007877210727,0,1674859261.682600,327,38,1674859261681.0
375.4375,37.89535,-208.229,425.8905,-165.5895,-147.84199999999998,0.7209315336618919,0,1674859261.715700,328,39,1674859261714.3333
375.38149999999996,37.89535,-208.28500000000003,426.058,-165.31099999999998,-148.12099999999998,0.7183416973564557,0,1674859261.748800,329,40,1674859261747.6667
375.49350000000004,38.007000000000005,-208.2295,426.225,-164.92000000000002,-148.17700000000002,0.7178354931835298,0,1674859261.781800,330,41,1674859261781.0
375.49350000000004,37.95115,-208.28500000000003,426.225,-164.80849999999998,-148.065,0.7180484641929247,0,1674859261.814900,331,42,1674859261814.3333
375.49350000000004,37.89535,-208.4525,426.225,-164.80849999999998,-148.0655,0.7198921679695772,0,1674859261.848000,332,43,1674859261847.6667
375.4375,37.89535,-208.564,426.11350000000004,-164.8645,-148.2885,0.7193222117625517,0,1674859261.881100,333,44,1674859261881.0
375.49350000000004,37.6721,-208.6755,426.002,-165.03199999999998,-148.45600000000002,0.717186972034519,0,1674859261.914100,334,45,1674859261914.3333
375.49350000000004,37.616299999999995,-208.73149999999998,425.946,-165.199,-148.62349999999998,0.7164110087003345,0,1674859261.947200,335,46,1674859261947.6667
375.493,37.560500000000005,-208.73149999999998,426.002,-165.4785,-148.735,0.7192568684372989,0,1674859261.980300,336,47,1674859261981.0
375.4375,37.560500000000005,-208.73149999999998,426.11350000000004,-165.4225,-148.512,0.717189772821337,0,1674859262.013300,337,48,1674859262014.3333
375.49350000000004,37.4489,-208.73149999999998,426.16949999999997,-165.367,-148.39999999999998,0.7151059003436101,0,1674859262.046400,338,49,1674859262047.6667
375.5495,37.33725,-208.62,426.16949999999997,-165.59,-148.23250000000002,0.7130179412604661,0,1674859262.079500,339,50,1674859262081.0
375.5495,37.2256,-208.5645,426.11350000000004,-165.757,-148.17700000000002,0.7124911867280105,0,1674859262.112600,340,51,1674859262114.3333
375.605,37.1698,-208.3965,426.002,-166.09199999999998,-148.01,0.7096580630810571,0,1674859262.149300,341,52,1674859262147.6667
375.6605,37.1698,-208.285,425.8905,-166.37099999999998,-147.898,0.7117158012507403,0,1674859262.182400,342,53,1674859262181.0
375.6605,37.169799999999995,-208.2295,425.7785,-166.48250000000002,-147.7865,0.7137974404942551,0,1674859262.215500,343,54,1674859262214.3333
375.6605,37.114,-208.2295,425.66700000000003,-166.65,-147.563,0.7151064045715673,0,1674859262.248500,344,55,1674859262247.6667
375.605,37.0582,-208.2295,425.611,-166.6505,-147.39600000000002,0.7158603270511811,0,1674859262.281600,345,56,1674859262281.0
375.5495,37.114,-208.1735,425.66700000000003,-166.59449999999998,-147.3395,0.7145773907743537,0,1674859262.314700,346,57,1674859262314.3333
375.605,37.2256,-208.1735,425.834,-166.427,-147.284,0.7125168661385446,0,1674859262.347800,347,58,1674859262347.6667
375.5495,37.3931,-208.1175,425.89,-166.204,-147.284,0.7137974404942551,0,1674859262.380800,348,59,1674859262381.0
375.549,37.560500000000005,-208.1735,425.946,-165.92450000000002,-147.284,0.717171158616187,0,1674859262.413900,349,60,1674859262414.3333
375.549,37.72795,-208.341,426.0575,-165.4785,-147.4515,0.7163991013361263,0,1674859262.447000,350,61,1674859262447.6667
375.4375,37.89535,-208.50799999999998,426.00149999999996,-165.255,-147.954,0.7223918609013076,0,1674859262.480100,351,62,1674859262481.0
375.326,37.9512,-208.62,426.0575,-165.1435,-148.4005,0.7278537237792517,0,1674859262.513100,352,63,1674859262514.3333
375.27049999999997,37.89535,-208.676,426.225,-165.08749999999998,-148.679,0.7291670671208181,0,1674859262.546200,353,64,1674859262547.6667
375.27,38.007000000000005,-208.9545,426.281,-165.1435,-148.7905,0.738057071333943,0,1674859262.579300,354,65,1674859262581.0
375.38199999999995,37.78375,-208.95499999999998,426.225,-165.255,-148.8465,0.7333298663049752,0,1674859262.616000,355,66,1674859262614.3333
375.4375,37.78375,-208.8435,426.28099999999995,-165.199,-148.90249999999997,0.7411998242371693,0,1674859262.649100,356,67,1674859262647.6667
375.4375,37.6721,-208.676,426.3365,-165.255,-148.9025,0.7423346619189997,0,1674859262.682200,357,68,1674859262681.0
375.4935,37.6721,-208.56400000000002,426.16949999999997,-165.4225,-148.958,0.7392478482107967,0,1674859262.715300,358,69,1674859262714.3333
375.605,37.6163,-208.3965,426.002,-165.9805,-148.8465,0.7410934927267486,0,1674859262.748300,359,70,1674859262747.6667
375.549,37.33725,-208.28500000000003,426.00149999999996,-166.2595,-148.67950000000002,0.7450022605106809,0,1674859262.781400,360,71,1674859262781.0
375.549,37.33725,-208.1175,425.7785,-166.4275,-148.735,0.7428500592508848,0,1674859262.814500,361,72,1674859262814.3333
375.549,37.281400000000005,-207.894,425.6115,-166.539,-148.67950000000002,0.7508736437243555,0,1674859262.847500,362,73,1674859262847.6667
375.4375,37.0582,-207.95,425.388,-166.762,-148.456,0.7566052175635495,0,1674859262.880600,363,74,1674859262881.0
375.4375,36.946600000000004,-208.06150000000002,425.44399999999996,-166.6505,-148.289,0.7555625831248578,0,1674859262.913700,364,75,1674859262914.3333
375.4375,36.8908,-208.1175,425.38800000000003,-166.59449999999998,-148.17700000000002,0.752213527354436,0,1674859262.946800,365,76,1674859262947.6667
375.4375,37.0582,-207.9505,425.4995,-166.427,-147.89800000000002,0.7478284236090925,0,1674859262.979800,366,77,1674859262981.0
375.38149999999996,37.22565,-207.9505,425.555,-166.4275,-147.7305,0.7539270095335938,0,1674859263.012900,367,78,1674859263014.3333
