PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,Trackstar time,True frame #,Relative frame #,Frame timestamp
380.963,10.436599999999999,-119.937,412.32849999999996,-134.95,-116.19749999999999,0.46637707892587377,0.28754212981782534,1674857277.424100,293,0,1674857277425.6667
380.851,10.492400000000002,-120.272,411.15650000000005,-134.671,-116.86699999999999,0.46986528279836604,0.3115255998467245,1674857277.457200,294,1,1674857277459.0
381.0745,10.380749999999999,-120.5505,410.43050000000005,-134.28,-117.7045,0.4802511732303748,0.29586268482666467,1674857277.494000,295,2,1674857277492.3333
381.13,10.101700000000001,-120.997,409.70550000000003,-134.838,-117.36949999999999,0.49332185308832094,0.3103215999278023,1674857277.527000,296,3,1674857277525.6667
381.1305,10.324950000000001,-121.332,409.259,-134.615,-117.872,0.4914738631398326,0.31727963184968194,1674857277.560100,297,4,1674857277559.0
381.2975,10.4366,-121.5,409.03549999999996,-134.727,-118.2065,0.48676801025791516,0.3149570642248017,1674857277.593200,298,5,1674857277592.3333
381.24199999999996,10.548200000000001,-121.5555,408.8125,-134.5035,-117.98349999999999,0.4840256351559829,0.31652118270229024,1674857277.626300,299,6,1674857277625.6667
381.24199999999996,10.380750000000003,-121.49950000000001,408.70050000000003,-134.1685,-118.43,0.48865954180506627,0.3033248316923604,1674857277.659300,300,7,1674857277659.0
381.1305,10.4924,-121.2765,408.645,-134.05700000000002,-118.5975,0.4994314055696697,0.3074110454058655,1674857277.692400,301,8,1674857277692.3333
380.6835,10.8831,-120.83,408.477,-133.8895,-118.8765,0.5067273928600481,0.31268792920744154,1674857277.725500,302,9,1674857277725.6667
380.572,11.106299999999997,-120.9975,408.366,-133.666,-119.267,0.49961469385483154,0.31229363041430336,1674857277.758600,303,10,1674857277759.0
380.4605,11.27375,-121.10900000000001,408.31,-133.108,-119.602,0.4986079207566982,0.31449268342841025,1674857277.791600,304,11,1674857277792.3333
380.405,11.441149999999999,-121.2205,408.4215,-132.606,-119.993,0.5026476039405039,0.3100891473531423,1674857277.824700,305,12,1674857277825.6667
380.1255,11.552799999999998,-121.946,408.477,-132.6615,-120.774,0.5221810459478218,0.30745569513474275,1674857277.857800,306,13,1674857277859.0
379.90200000000004,11.72025,-122.839,408.42150000000004,-132.829,-121.4435,0.536719974994821,0.3015467300827924,1674857277.890900,307,14,1674857277892.3333
379.8465,12.3899,-123.2855,408.86850000000004,-132.49450000000002,-122.0575,0.5514033415657112,0.3018948983574043,1674857277.923900,308,15,1674857277925.6667
