Frame Number,Timestamp
293,1674857277425.6667
294,1674857277459.0
295,1674857277492.3333
296,1674857277525.6667
297,1674857277559.0
298,1674857277592.3333
299,1674857277625.6667
300,1674857277659.0
301,1674857277692.3333
302,1674857277725.6667
303,1674857277759.0
304,1674857277792.3333
305,1674857277825.6667
306,1674857277859.0
307,1674857277892.3333
308,1674857277925.6667
309,1674857277959.0
310,1674857277992.3333
311,1674857278025.6667
312,1674857278059.0
313,1674857278092.3333
314,1674857278125.6667
315,1674857278159.0
316,1674857278192.3333
317,1674857278225.6667
318,1674857278259.0
319,1674857278292.3333
320,1674857278325.6667
321,1674857278359.0
322,1674857278392.3333
323,1674857278425.6667
324,1674857278459.0
325,1674857278492.3333
326,1674857278525.6667
327,1674857278559.0
328,1674857278592.3333
329,1674857278625.6667
330,1674857278659.0
331,1674857278692.3333
332,1674857278725.6667
333,1674857278759.0
334,1674857278792.3333
335,1674857278825.6667
336,1674857278859.0
337,1674857278892.3333
338,1674857278925.6667
339,1674857278959.0
340,1674857278992.3333
341,1674857279025.6667
342,1674857279059.0
343,1674857279092.3333
344,1674857279125.6667
345,1674857279159.0
346,1674857279192.3333
347,1674857279225.6667
348,1674857279259.0
349,1674857279292.3333
350,1674857279325.6667
351,1674857279359.0
352,1674857279392.3333
353,1674857279425.6667
354,1674857279459.0
355,1674857279492.3333
356,1674857279525.6667
357,1674857279559.0
358,1674857279592.3333
359,1674857279625.6667
360,1674857279659.0
361,1674857279692.3333
362,1674857279725.6667
363,1674857279759.0
364,1674857279792.3333
365,1674857279825.6667
366,1674857279859.0
367,1674857279892.3333
368,1674857279925.6667
369,1674857279959.0
370,1674857279992.3333
371,1674857280025.6667
372,1674857280059.0
373,1674857280092.3333
374,1674857280125.6667
375,1674857280159.0
376,1674857280192.3333
377,1674857280225.6667
378,1674857280259.0
379,1674857280292.3333
380,1674857280325.6667
381,1674857280359.0
382,1674857280392.3333
383,1674857280425.6667
384,1674857280459.0
385,1674857280492.3333
386,1674857280525.6667
387,1674857280559.0
388,1674857280592.3333
389,1674857280625.6667
