PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,Trackstar time,True frame #,Relative frame #,Frame timestamp
388.9435,26.84489,-75.7907,404.57050000000004,-137.7405,-73.89314999999999,0.300297728195147,0.12880626275992527,1674854349.371100,284,0,1674854349355.6667
388.9435,26.900699999999997,-75.73490000000001,404.62649999999996,-137.6285,-73.949,0.2974184663724223,0.1281309802822599,1674854349.389400,285,1,1674854349389.0
388.9435,26.900699999999997,-75.6791,404.6825,-137.6285,-73.949,0.29662966110217,0.13008425102761312,1674854349.422500,286,2,1674854349422.3333
388.9435,26.9565,-75.6791,404.6825,-137.6845,-73.7815,0.2987182239346389,0.1310223503062657,1674854349.455600,287,3,1674854349455.6667
388.888,27.0123,-75.56745000000001,404.6825,-137.6845,-73.72569999999999,0.3000005278282048,0.1323060056985759,1674854349.488600,288,4,1674854349489.0
388.888,26.9565,-75.51165,404.6825,-137.7405,-73.6699,0.297125113726492,0.13393418088334172,1674854349.521700,289,5,1674854349522.3333
388.888,26.9565,-75.51165,404.6825,-137.7405,-73.6141,0.297125113726492,0.13522392522597615,1674854349.554800,290,6,1674854349555.6667
388.8325,27.06811,-75.51165,404.6825,-137.7405,-73.5583,0.29793300602820544,0.1365168718424393,1674854349.587900,291,7,1674854349589.0
388.8325,27.12391,-75.51165,404.6825,-137.6845,-73.5583,0.3000238465252837,0.13617625700149097,1674854349.620900,292,8,1674854349622.3333
388.7765,27.17972,-75.56745000000001,404.6825,-137.6285,-73.50245,0.2979016445402656,0.13781417466200976,1674854349.654000,293,9,1674854349655.6667
388.7765,27.23557,-75.51165,404.738,-137.6285,-73.50245,0.2992108964320151,0.13973994434100084,1674854349.690800,294,10,1674854349689.0
388.8325,27.291379999999997,-75.51165,404.738,-137.57299999999998,-73.61415,0.2979341298045185,0.13940319320918135,1674854349.723800,295,11,1674854349722.3333
388.8325,27.291379999999997,-75.56745000000001,404.738,-137.51749999999998,-73.61415,0.29871826848947164,0.13973994434100068,1674854349.756900,296,12,1674854349755.6667
388.8325,27.40299,-75.56745000000001,404.738,-137.4615,-73.66995,0.2987178940838878,0.13810562897153647,1674854349.790000,297,13,1674854349789.0
388.8325,27.45879,-75.62325,404.794,-137.35,-73.72575,0.300024596151596,0.13876639632616727,1674854349.823100,298,14,1674854349822.3333
388.7765,27.45879,-75.6791,404.794,-137.29399999999998,-73.83735,0.3016260552769224,0.13910636842992244,1674854349.856100,299,15,1674854349855.6667
388.7765,27.51459,-75.6791,404.85,-137.1825,-73.89315,0.30371601286668176,0.13586690479239114,1674854349.889200,300,16,1674854349889.0
388.7765,27.51459,-75.73495,404.85,-137.12650000000002,-73.94895,0.3029336502076673,0.13749959785381766,1674854349.922300,301,17,1674854349922.3333
388.8325,27.45879,-75.73495,404.85,-137.12650000000002,-73.94895,0.300024596151596,0.13749959785381766,1674854349.955400,302,18,1674854349955.6667
388.8325,27.45879,-75.73495,404.794,-137.12650000000002,-73.94895,0.300024596151596,0.13876338081000716,1674854349.988400,303,19,1674854349989.0
388.8325,27.40298,-75.73495,404.794,-137.12650000000002,-74.0048,0.30211704512882315,0.13747602222570524,1674854350.021500,304,20,1674854350022.3333
388.8325,27.40298,-75.73495,404.738,-137.1825,-74.0606,0.30211704512882315,0.1345811527432311,1674854350.054600,305,21,1674854350055.6667
388.88800000000003,27.29137,-75.6791,404.738,-137.29399999999998,-73.949,0.3021483444719178,0.13458421853710856,1674854350.087700,306,22,1674854350089.0
388.88800000000003,27.23557,-75.73495,404.738,-137.4055,-73.83735,0.3008360873065024,0.13458230237794333,1674854350.120700,307,23,1674854350122.3333
388.88800000000003,27.179759999999998,-75.73495,404.682,-137.4615,-73.78155,0.30292746431645773,0.13747717330263384,1674854350.157500,308,24,1674854350155.6667
388.8325,27.179759999999998,-75.62325,404.6265,-137.4615,-73.78155,0.3021177951971052,0.13554353112571071,1674854350.190600,309,25,1674854350189.0
388.8325,27.123949999999997,-75.62325,404.6265,-137.51749999999998,-73.6699,0.30421147693027795,0.13588316086142505,1674854350.223600,310,26,1674854350222.3333
