PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,Trackstar time,True frame #,Relative frame #,Frame timestamp
368.4615,25.896085,-64.85185,384.981,-137.238,-76.06975,0.5859125223671394,0.03415687363530089,1674855810.374100,275,0,1674855810359.6667
368.4615,25.840275,-64.85185,384.9255,-137.29399999999998,-75.95815,0.5877208401991226,0.03159238334013294,1674855810.392500,276,1,1674855810393.0
368.4615,25.896075,-64.96350000000001,384.9255,-137.29399999999998,-76.01395,0.592319479483885,0.031148625975639596,1674855810.425600,277,2,1674855810426.3333
368.4615,25.896075,-65.07509999999999,384.981,-137.29399999999998,-76.06975,0.592319479483885,0.03386965698105729,1674855810.458600,278,3,1674855810459.6667
368.40549999999996,25.951885,-65.1309,385.03700000000003,-137.18200000000002,-76.1814,0.5910069794116518,0.03616813689356489,1674855810.491700,279,4,1674855810493.0
368.3495,26.007735,-65.1867,385.0925,-137.18200000000002,-76.2372,0.5923207762486972,0.03433815709036152,1674855810.524800,280,5,1674855810526.3333
368.3495,26.007735,-65.2425,385.1485,-137.015,-76.2372,0.5937183793175891,0.03692186255476798,1674855810.557900,281,6,1674855810559.6667
368.4615,26.007735,-65.2425,385.204,-136.959,-76.293,0.5937183793175891,0.039939310599509524,1674855810.594600,282,7,1674855810593.0
368.4615,26.007735,-65.2983,385.204,-137.015,-76.293,0.595118604131505,0.03964864050285924,1674855810.627700,283,8,1674855810626.3333
368.4615,26.063535,-65.35415,385.26,-136.959,-76.51625,0.5983295754336164,0.03706581778885126,1674855810.660800,284,9,1674855810659.6667
368.4615,26.007725,-65.35415,385.204,-137.015,-76.51625,0.6001388489576951,0.03964823483811158,1674855810.693800,285,10,1674855810693.0
368.4615,25.951925,-65.35415,385.204,-136.959,-76.5721,0.598329899431805,0.04039426267894005,1674855810.726900,286,11,1674855810726.3333
368.4615,25.896115,-65.35415,385.204,-136.959,-76.5163,0.6001391733284636,0.0408538965818846,1674855810.760000,287,12,1674855810759.6667
368.517,25.896115,-65.41,385.1485,-137.0145,-76.5163,0.5996325364669018,0.03887396898074293,1674855810.793000,288,13,1674855810793.0
368.517,25.896115,-65.41,385.1485,-137.12650000000002,-76.46045,0.5996325364669018,0.03782612003976522,1674855810.826100,289,14,1674855810826.3333
368.5725,25.896115,-65.41,385.093,-137.1825,-76.40459999999999,0.5987371712742385,0.040851282038487174,1674855810.859200,290,15,1674855810859.6667
368.5725,25.896115,-65.35415,385.093,-137.238,-76.40459999999999,0.5973377946340238,0.04056345792515141,1674855810.892300,291,16,1674855810893.0
368.5725,25.78445,-65.2983,385.093,-137.35,-76.40459999999999,0.5987360353202059,0.04056345792515141,1674855810.925300,292,17,1674855810926.3333
368.5725,25.78445,-65.2983,384.981,-137.406,-76.40459999999999,0.5987360353202059,0.0402778451567529,1674855810.958400,293,18,1674855810959.6667
368.5725,25.728640000000002,-65.2983,384.981,-137.4615,-76.40459999999999,0.6005484321678871,0.04056088645397056,1674855810.991500,294,19,1674855810993.0
368.517,25.728640000000002,-65.2425,384.981,-137.406,-76.3488,0.600046564594607,0.03981798060200319,1674855811.024600,295,20,1674855811026.3333
368.517,25.67283,-65.2425,384.925,-137.406,-76.3488,0.6018614100485749,0.03752231798218726,1674855811.061300,296,21,1674855811059.6667
368.517,25.67283,-65.1867,384.925,-137.406,-76.34885,0.5986814613315256,0.036614426457954534,1674855811.094400,297,22,1674855811093.0
368.517,25.67283,-65.2425,384.925,-137.406,-76.29305,0.6000753843486288,0.03616773874286516,1674855811.127500,298,23,1674855811126.3333
368.517,25.78449,-65.1867,384.925,-137.406,-76.29305,0.598682764511639,0.03616773874286516,1674855811.160500,299,24,1674855811159.6667
368.4615,25.8403,-65.1867,384.925,-137.406,-76.2372,0.5977581985946612,0.03661482882583062,1674855811.193600,300,25,1674855811193.0
368.4615,25.8961,-65.1867,384.925,-137.35,-76.2372,0.5995744327334065,0.03690135580397765,1674855811.226700,301,26,1674855811226.3333
368.4615,25.8961,-65.1867,384.925,-137.238,-76.34885,0.5995744327334065,0.036900953536903446,1674855811.259800,302,27,1674855811259.6667
368.4615,25.951915000000003,-65.2425,385.03700000000003,-137.1825,-76.34885,0.5991521651083499,0.03718969849381355,1674855811.292800,303,28,1674855811293.0
368.40549999999996,25.951915000000003,-65.2425,385.03700000000003,-137.12650000000002,-76.34885,0.5982519921183783,0.037485860277580885,1674855811.325900,304,29,1674855811326.3333
368.461,26.007725,-65.2425,385.03700000000003,-137.12650000000002,-76.46045000000001,0.5955481482908208,0.03748586027758073,1674855811.359000,305,30,1674855811359.6667
368.461,26.007725,-65.35415,385.1485,-137.0145,-76.40465,0.5955468957373908,0.03795739625211824,1674855811.392100,306,31,1674855811393.0
368.461,26.007725,-65.35415,385.1485,-137.0145,-76.40465,0.5955468957373908,0.03795739625211824,1674855811.425100,307,32,1674855811426.3333
368.517,26.007725,-65.35415,385.204,-137.0145,-76.46045,0.596444650465959,0.04068657338842133,1674855811.458200,308,33,1674855811459.6667
368.517,25.951915000000003,-65.41,385.1485,-137.0705,-76.46045,0.5996576089739499,0.038117208691607604,1674855811.491300,309,34,1674855811493.0
368.517,25.896115,-65.41,385.204,-137.0705,-76.46045,0.5978448687675602,0.040391237328664384,1674855811.528000,310,35,1674855811526.3333
368.517,25.896115,-65.41,385.1485,-137.0705,-76.46045,0.5978448687675602,0.038117208691607604,1674855811.561100,311,36,1674855811559.6667
