PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,Trackstar time,True frame #,Relative frame #,Frame timestamp
382.3025,25.39381,-72.9444,395.808,-134.4475,-73.27924999999999,0.41914614721724025,0.06143298566132456,1674856623.438200,281,0,1674856623439.6667
382.35850000000005,25.505425000000002,-72.9444,395.75250000000005,-134.392,-73.5025,0.41968730114085717,0.060043829534364615,1674856623.471300,282,1,1674856623473.0
382.35850000000005,25.505425000000002,-72.9444,395.75250000000005,-134.336,-73.5583,0.41968730114085717,0.06089821375313031,1674856623.508100,283,2,1674856623506.3333
382.637,25.505435,-73.00019999999999,395.808,-134.28,-73.5025,0.4107038400551764,0.06219940867185493,1674856623.541100,284,3,1674856623539.6667
382.749,25.505435,-73.1118,395.808,-134.28,-73.61410000000001,0.4107038400551764,0.062084819714509416,1674856623.574200,285,4,1674856623573.0
382.693,25.505435,-73.1118,395.808,-134.336,-73.66990000000001,0.4112405234658258,0.0630522312069019,1674856623.607300,286,5,1674856623606.3333
381.52099999999996,26.789075,-70.54455,395.86400000000003,-134.336,-73.66990000000001,0.4583962888176593,0.06522645007909475,1674856623.640400,287,6,1674856623639.6667
379.0655,28.072726,-68.59115,395.8085,-134.28,-73.66990000000001,0.5322747194375125,0.06647287801797686,1674856623.673400,288,7,1674856623673.0
377.11199999999997,28.240160499999998,-68.08885000000001,395.8645,-134.28,-73.66990000000001,0.5650311016052195,0.06865035021159795,1674856623.706500,289,8,1674856623706.3333
376.05150000000003,28.240142,-67.97725,395.8645,-134.336,-73.61410000000001,0.5698711589745101,0.06950328411937343,1674856623.739600,290,9,1674856623739.6667
375.884,28.40755,-68.25630000000001,395.8645,-134.4475,-73.5583,0.567745186802194,0.06944533864801483,1674856623.772700,291,10,1674856623773.0
376.9445,28.742445,-69.2609,395.8645,-134.503,-73.44669999999999,0.5426603950568483,0.0686503502115981,1674856623.805700,292,11,1674856623806.3333
376.9445,27.40298,-69.59575000000001,394.8595,-134.113,-72.9444,0.531497073078593,0.033370915245364625,1674856623.838800,293,12,1674856623839.6667
375.549,25.78449,-69.70735,394.134,-132.6615,-73.33505,0.5359301124407763,0,1674856623.871900,294,13,1674856623873.0
374.09799999999996,24.89153,-69.70735,394.804,-131.099,-73.22345000000001,0.5268383521557309,0,1674856623.905000,295,14,1674856623906.3333
373.81899999999996,24.89153,-69.7632,395.418,-129.4805,-73.6699,0.5314321272709929,0,1674856623.938000,296,15,1674856623939.6667
373.8745,25.00313,-69.37255,395.585,-126.634,-74.1164,0.5305568495051066,0,1674856623.974800,297,16,1674856623973.0
373.652,24.947305,-69.65155,396.0315,-124.2345,-74.9536,0.5258951305260209,0,1674856624.007900,298,17,1674856624006.3333
373.76300000000003,24.389215,-70.09805,398.20799999999997,-121.10849999999999,-76.40465,0.5105754992236249,0,1674856624.040900,299,18,1674856624039.6667
374.489,23.049765,-70.26545,399.827,-118.709,-77.6325,0.5087410927600653,0,1674856624.074000,300,19,1674856624073.0
374.991,22.045175,-71.54910000000001,401.613,-116.253,-80.70205,0.4831245432943236,0,1674856624.107100,301,20,1674856624106.3333
374.8795,21.04055,-72.88855000000001,402.506,-114.077,-82.59960000000001,0.4719386760136186,0,1674856624.140100,302,21,1674856624139.6667
374.8795,19.254645,-74.45125,402.2825,-112.012,-84.8878,0.4675558613361963,0,1674856624.173200,303,22,1674856624173.0
375.21450000000004,17.30125,-76.293,401.501,-110.95150000000001,-86.67375,0.45524239878873507,0.012603763530380478,1674856624.206300,304,23,1674856624206.3333
375.828,15.347900000000003,-77.96735,400.44050000000004,-109.7796,-88.962,0.4657580779607039,0.04898134602291467,1674856624.239400,305,24,1674856624239.6667
376.33050000000003,13.6736,-79.9207,399.71500000000003,-109.22145,-91.02705,0.46465234440403946,0.06924747482868004,1674856624.272400,306,25,1674856624273.0
376.10749999999996,12.892200000000003,-82.26474999999999,399.101,-109.05405,-93.092,0.4681239873516725,0.07898155528323984,1674856624.305500,307,26,1674856624306.3333
375.326,12.38995,-84.99945,398.8225,-109.3888,-94.65445,0.4727658669649281,0.07899604455314879,1674856624.338600,308,27,1674856624339.6667
374.9355,11.943449999999999,-88.34835000000001,398.59900000000005,-110.78399999999999,-95.77105,0.4957875724013669,0.09572559519670222,1674856624.371700,309,28,1674856624373.0
374.2655,12.724799999999998,-92.25485,398.599,-112.5143,-97.27799999999999,0.5105668387918134,0.07682030837532051,1674856624.404700,310,29,1674856624406.3333
